         1,         0, 16481, 24812,  8407, 16821, 28165, 29897
         2,       200, 15450, 25107,  8729, 16842, 28165, 29897
         3,       400, 14424, 25369,  9083, 16863, 28166, 29897
         4,       600, 13406, 25597,  9466, 16884, 28165, 29897
         5,       800, 12399, 25789,  9877, 16904, 28165, 29897
         6,      1000, 11408, 25946, 10316, 16925, 28164, 29897
         7,      1200, 10437, 26066, 10779, 16945, 28163, 29897
         8,      1400,  9489, 26149, 11266, 16964, 28161, 29897
         9,      1600,  8569, 26195, 11773, 16984, 28159, 29897
        10,      1800,  7680, 26203, 12300, 17003, 28157, 29897
        11,      2000,  6825, 26174, 12845, 17021, 28155, 29897
        12,      2200,  6007, 26108, 13404, 17038, 28152, 29897
        13,      2400,  5231, 26004, 13976, 17055, 28149, 29897
        14,      2600,  4499, 25863, 14559, 17071, 28146, 29897
        15,      2800,  3814, 25687, 15149, 17086, 28142, 29897
        16,      3000,  3179, 25475, 15746, 17100, 28138, 29897
        17,      3200,  2596, 25228, 16347, 17113, 28134, 29897
        18,      3400,  2067, 24948, 16948, 17126, 28130, 29897
        19,      3600,  1595, 24635, 17549, 17137, 28126, 29897
        20,      3800,  1181, 24290, 18146, 17146, 28121, 29897
        21,      4000,   827, 23916, 18737, 17155, 28117, 29897
        22,      4200,   535, 23513, 19319, 17163, 28112, 29897
        23,      4400,   306, 23084, 19892, 17169, 28107, 29897
        24,      4600,   139, 22629, 20451, 17174, 28102, 29897
        25,      4800,    37, 22150, 20995, 17177, 28097, 29897
        26,      5000,     0, 21651, 21523, 17180, 28091, 29897
        27,      5200,    27, 21131, 22031, 17181, 28086, 29897
        28,      5400,   119, 20594, 22517, 17180, 28081, 29897
        29,      5600,   275, 20042, 22981, 17179, 28076, 29897
        30,      5800,   495, 19476, 23420, 17176, 28070, 29897
        31,      6000,   777, 18900, 23831, 17171, 28065, 29897
        32,      6200,  1121, 18314, 24215, 17166, 28060, 29897
        33,      6400,  1526, 17723, 24569, 17159, 28055, 29897
        34,      6600,  1989, 17127, 24891, 17150, 28050, 29897
        35,      6800,  2508, 16529, 25181, 17141, 28045, 29897
        36,      7000,  3083, 15932, 25437, 17130, 28041, 29897
        37,      7200,  3710, 15338, 25658, 17118, 28036, 29897
        38,      7400,  4387, 14750, 25844, 17105, 28032, 29897
        39,      7600,  5112, 14169, 25994, 17091, 28028, 29897
        40,      7800,  5880, 13598, 26106, 17076, 28024, 29897
        41,      8000,  6691, 13039, 26181, 17060, 28020, 29897
        42,      8200,  7539, 12495, 26219, 17043, 28017, 29897
        43,      8400,  8423, 11967, 26219, 17025, 28014, 29897
        44,      8600,  9338, 11458, 26181, 17007, 28011, 29897
        45,      8800, 10281, 10969, 26105, 16988, 28008, 29897
        46,      9000, 11248, 10503, 25992, 16968, 28006, 29897
        47,      9200, 12235, 10061, 25842, 16947, 28004, 29897
        48,      9400, 13238,  9646, 25656, 16927, 28002, 29897
        49,      9600, 14254,  9258, 25434, 16905, 28001, 29897
        50,      9800, 15278,  8900, 25178, 16884, 28000, 29897
        51,     10000, 16307,  8572, 24888, 16862, 27999, 29897
        52,     10200, 17336,  8276, 24565, 16840, 27998, 29897
        53,     10400, 18361,  8014, 24211, 16818, 27998, 29897
        54,     10600, 19378,  7785, 23827, 16796, 27999, 29897
        55,     10800, 20384,  7592, 23415, 16775, 27999, 29897
        56,     11000, 21374,  7435, 22976, 16753, 28000, 29897
        57,     11200, 22344,  7314, 22512, 16732, 28002, 29897
        58,     11400, 23290,  7230, 22025, 16711, 28003, 29897
        59,     11600, 24209,  7184, 21516, 16691, 28005, 29897
        60,     11800, 25098,  7175, 20989, 16671, 28007, 29897
        61,     12000, 25952,  7204, 20444, 16652, 28010, 29897
        62,     12200, 26768,  7270, 19884, 16633, 28013, 29897
        63,     12400, 27543,  7373, 19312, 16616, 28016, 29897
        64,     12600, 28274,  7513, 18728, 16599, 28020, 29897
        65,     12800, 28958,  7689, 18137, 16583, 28023, 29897
        66,     13000, 29593,  7900, 17540, 16568, 28027, 29897
        67,     13200, 30175,  8147, 16939, 16554, 28031, 29897
        68,     13400, 30703,  8427, 16337, 16541, 28036, 29897
        69,     13600, 31175,  8739, 15736, 16529, 28040, 29897
        70,     13800, 31588,  9083, 15139, 16519, 28045, 29897
        71,     14000, 31941,  9457, 14548, 16510, 28050, 29897
        72,     14200, 32233,  9860, 13965, 16502, 28055, 29897
        73,     14400, 32462, 10289, 13392, 16495, 28060, 29897
        74,     14600, 32628, 10744, 12833, 16490, 28066, 29897
        75,     14800, 32730, 11222, 12288, 16486, 28071, 29897
        76,     15000, 32767, 11722, 11761, 16484, 28076, 29897
        77,     15200, 32740, 12241, 11253, 16482, 28082, 29897
        78,     15400, 32648, 12778, 10766, 16483, 28087, 29897
        79,     15600, 32491, 13331, 10302, 16484, 28093, 29897
        80,     15800, 32272, 13896,  9864, 16487, 28098, 29897
        81,     16000, 31989, 14473,  9452, 16492, 28104, 29897
        82,     16200, 31646, 15058,  9068, 16498, 28109, 29897
        83,     16400, 31242, 15650,  8715, 16505, 28114, 29897
        84,     16600, 30779, 16246,  8393, 16513, 28119, 29897
        85,     16800, 30259, 16844,  8103, 16523, 28124, 29897
        86,     17000, 29685, 17441,  7847, 16534, 28129, 29897
        87,     17200, 29058, 18035,  7626, 16546, 28134, 29897
        88,     17400, 28382, 18624,  7440, 16560, 28138, 29897
        89,     17600, 27658, 19205,  7291, 16574, 28143, 29897
        90,     17800, 26890, 19776,  7179, 16590, 28147, 29897
        91,     18000, 26080, 20335,  7104, 16607, 28151, 29897
        92,     18200, 25232, 20880,  7067, 16624, 28154, 29897
        93,     18400, 24349, 21408,  7067, 16643, 28157, 29897
        94,     18600, 23434, 21918,  7106, 16662, 28160, 29897
        95,     18800, 22492, 22407,  7182, 16682, 28163, 29897
        96,     19000, 21526, 22873,  7295, 16702, 28166, 29897
        97,     19200, 20540, 23316,  7445, 16723, 28168, 29897
        98,     19400, 19537, 23732,  7632, 16745, 28169, 29897
        99,     19600, 18522, 24120,  7854, 16767, 28171, 29897
       100,     19800, 17499, 24478,  8111, 16789, 28172, 29897
       101,     20000, 16471, 24807,  8402, 16812, 28173, 29897
       102,     20200, 15443, 25103,  8725, 16834, 28173, 29897
       103,     20400, 14418, 25366,  9079, 16857, 28173, 29897
       104,     20600, 13402, 25594,  9464, 16880, 28173, 29897
       105,     20800, 12397, 25788,  9876, 16902, 28172, 29897
       106,     21000, 11408, 25946, 10316, 16925, 28171, 29897
       107,     21200, 10439, 26067, 10780, 16947, 28170, 29897
       108,     21400,  9493, 26151, 11268, 16968, 28168, 29897
       109,     21600,  8575, 26198, 11776, 16989, 28166, 29897
       110,     21800,  7687, 26207, 12305, 17010, 28164, 29897
       111,     22000,  6834, 26179, 12850, 17030, 28161, 29897
       112,     22200,  6018, 26114, 13410, 17049, 28158, 29897
       113,     22400,  5244, 26011, 13983, 17067, 28155, 29897
       114,     22600,  4513, 25871, 14566, 17085, 28151, 29897
       115,     22800,  3830, 25695, 15158, 17101, 28148, 29897
       116,     23000,  3196, 25484, 15756, 17117, 28143, 29897
       117,     23200,  2614, 25238, 16357, 17131, 28139, 29897
       118,     23400,  2086, 24958, 16959, 17144, 28135, 29897
       119,     23600,  1615, 24646, 17560, 17156, 28130, 29897
       120,     23800,  1202, 24302, 18158, 17167, 28125, 29897
       121,     24000,   850, 23929, 18749, 17177, 28120, 29897
       122,     24200,   558, 23526, 19332, 17185, 28115, 29897
       123,     24400,   329, 23097, 19905, 17192, 28109, 29897
       124,     24600,   164, 22642, 20465, 17198, 28104, 29897
       125,     24800,    62, 22164, 21009, 17202, 28098, 29897
       126,     25000,    25, 21665, 21537, 17205, 28093, 29897
       127,     25200,    53, 21146, 22045, 17206, 28087, 29897
       128,     25400,   145, 20609, 22532, 17206, 28082, 29897
       129,     25600,   301, 20056, 22996, 17204, 28076, 29897
       130,     25800,   521, 19491, 23434, 17201, 28070, 29897
       131,     26000,   803, 18914, 23846, 17197, 28065, 29897
       132,     26200,  1147, 18329, 24229, 17191, 28059, 29897
       133,     26400,  1551, 17737, 24583, 17183, 28054, 29897
       134,     26600,  2013, 17141, 24905, 17175, 28049, 29897
       135,     26800,  2533, 16543, 25194, 17165, 28043, 29897
       136,     27000,  3107, 15946, 25450, 17154, 28038, 29897
       137,     27200,  3733, 15352, 25671, 17141, 28034, 29897
       138,     27400,  4410, 14763, 25857, 17127, 28029, 29897
       139,     27600,  5133, 14181, 26006, 17113, 28025, 29897
       140,     27800,  5901, 13610, 26118, 17097, 28020, 29897
       141,     28000,  6711, 13050, 26193, 17080, 28016, 29897
       142,     28200,  7558, 12505, 26230, 17062, 28013, 29897
       143,     28400,  8441, 11977, 26229, 17043, 28009, 29897
       144,     28600,  9355, 11467, 26190, 17023, 28006, 29897
       145,     28800, 10296, 10978, 26114, 17003, 28004, 29897
       146,     29000, 11262, 10511, 26000, 16982, 28001, 29897
       147,     29200, 12248, 10069, 25850, 16960, 27999, 29897
       148,     29400, 13250,  9652, 25663, 16938, 27997, 29897
       149,     29600, 14265,  9264, 25440, 16916, 27996, 29897
       150,     29800, 15288,  8905, 25183, 16893, 27995, 29897
       151,     30000, 16315,  8576, 24892, 16870, 27994, 29897
       152,     30200, 17343,  8280, 24569, 16847, 27993, 29897
       153,     30400, 18366,  8017, 24214, 16824, 27993, 29897
       154,     30600, 19382,  7788, 23829, 16800, 27994, 29897
       155,     30800, 20387,  7594, 23416, 16777, 27994, 29897
       156,     31000, 21375,  7436, 22977, 16754, 27995, 29897
       157,     31200, 22344,  7314, 22512, 16732, 27997, 29897
       158,     31400, 23289,  7230, 22024, 16710, 27998, 29897
       159,     31600, 24207,  7183, 21515, 16688, 28000, 29897
       160,     31800, 25094,  7173, 20987, 16667, 28003, 29897
       161,     32000, 25947,  7201, 20441, 16647, 28005, 29897
       162,     32200, 26762,  7266, 19881, 16627, 28009, 29897
       163,     32400, 27536,  7369, 19307, 16608, 28012, 29897
       164,     32600, 28266,  7508, 18724, 16590, 28015, 29897
       165,     32800, 28949,  7684, 18132, 16574, 28019, 29897
       166,     33000, 29583,  7895, 17534, 16558, 28023, 29897
       167,     33200, 30164,  8140, 16933, 16543, 28028, 29897
       168,     33400, 30691,  8420, 16330, 16529, 28032, 29897
       169,     33600, 31162,  8732, 15729, 16517, 28037, 29897
       170,     33800, 31574,  9076, 15131, 16506, 28042, 29897
       171,     34000, 31927,  9449, 14540, 16496, 28047, 29897
       172,     34200, 32218,  9851, 13956, 16487, 28053, 29897
       173,     34400, 32447, 10280, 13383, 16480, 28058, 29897
       174,     34600, 32612, 10735, 12824, 16474, 28064, 29897
       175,     34800, 32713, 11213, 12279, 16470, 28069, 29897
       176,     35000, 32750, 11712, 11751, 16467, 28075, 29897
       177,     35200, 32722, 12232, 11243, 16466, 28081, 29897
       178,     35400, 32630, 12768, 10756, 16466, 28087, 29897
       179,     35600, 32474, 13321, 10292, 16467, 28092, 29897
       180,     35800, 32254, 13886,  9854, 16470, 28098, 29897
       181,     36000, 31972, 14463,  9442, 16475, 28104, 29897
       182,     36200, 31628, 15048,  9059, 16481, 28109, 29897
       183,     36400, 31224, 15640,  8705, 16488, 28115, 29897
       184,     36600, 30762, 16236,  8383, 16497, 28120, 29897
       185,     36800, 30242, 16834,  8094, 16507, 28125, 29897
       186,     37000, 29669, 17431,  7838, 16518, 28131, 29897
       187,     37200, 29042, 18026,  7617, 16531, 28135, 29897
       188,     37400, 28366, 18615,  7431, 16544, 28140, 29897
       189,     37600, 27643, 19196,  7283, 16559, 28145, 29897
       190,     37800, 26875, 19768,  7170, 16576, 28149, 29897
       191,     38000, 26066, 20327,  7096, 16593, 28153, 29897
       192,     38200, 25218, 20873,  7059, 16611, 28157, 29897
       193,     38400, 24336, 21401,  7060, 16630, 28160, 29897
       194,     38600, 23422, 21911,  7099, 16650, 28163, 29897
       195,     38800, 22481, 22401,  7175, 16670, 28166, 29897
       196,     39000, 21516, 22868,  7289, 16692, 28169, 29897
       197,     39200, 20530, 23310,  7440, 16714, 28171, 29897
       198,     39400, 19528, 23726,  7627, 16736, 28173, 29897
       199,     39600, 18514, 24115,  7849, 16759, 28174, 29897
       200,     39800, 17491, 24474,  8107, 16782, 28175, 29897
       201,     40000, 16464, 24803,  8398, 16805, 28176, 29897
       202,     40200, 15437, 25100,  8722, 16829, 28177, 29897
       203,     40400, 14414, 25363,  9077, 16853, 28177, 29897
       204,     40600, 13398, 25592,  9461, 16876, 28176, 29897
       205,     40800, 12394, 25786,  9875, 16900, 28176, 29897
       206,     41000, 11406, 25945, 10315, 16923, 28175, 29897
       207,     41200, 10438, 26066, 10780, 16946, 28173, 29897
       208,     41400,  9493, 26151, 11268, 16968, 28172, 29897
       209,     41600,  8575, 26198, 11777, 16990, 28169, 29897
       210,     41800,  7689, 26208, 12305, 17011, 28167, 29897
       211,     42000,  6836, 26181, 12851, 17032, 28164, 29897
       212,     42200,  6022, 26115, 13412, 17052, 28161, 29897
       213,     42400,  5248, 26013, 13985, 17071, 28158, 29897
       214,     42600,  4518, 25874, 14569, 17089, 28154, 29897
       215,     42800,  3835, 25699, 15161, 17107, 28150, 29897
       216,     43000,  3202, 25488, 15759, 17123, 28146, 29897
       217,     43200,  2621, 25242, 16361, 17138, 28142, 29897
       218,     43400,  2094, 24963, 16963, 17152, 28137, 29897
       219,     43600,  1623, 24651, 17565, 17165, 28132, 29897
       220,     43800,  1211, 24307, 18163, 17176, 28127, 29897
       221,     44000,   859, 23934, 18754, 17186, 28122, 29897
       222,     44200,   568, 23532, 19338, 17195, 28116, 29897
       223,     44400,   339, 23103, 19911, 17202, 28111, 29897
       224,     44600,   174, 22648, 20471, 17208, 28105, 29897
       225,     44800,    73, 22171, 21016, 17213, 28100, 29897
       226,     45000,    36, 21671, 21543, 17216, 28094, 29897
       227,     45200,    64, 21152, 22052, 17217, 28088, 29897
       228,     45400,   156, 20615, 22538, 17217, 28082, 29897
       229,     45600,   313, 20063, 23002, 17216, 28076, 29897
       230,     45800,   533, 19497, 23441, 17213, 28071, 29897
       231,     46000,   815, 18921, 23853, 17208, 28065, 29897
       232,     46200,  1159, 18335, 24236, 17202, 28059, 29897
       233,     46400,  1563, 17743, 24590, 17195, 28054, 29897
       234,     46600,  2025, 17147, 24912, 17186, 28048, 29897
       235,     46800,  2544, 16550, 25201, 17176, 28043, 29897
       236,     47000,  3118, 15952, 25457, 17165, 28038, 29897
       237,     47200,  3744, 15358, 25678, 17152, 28033, 29897
       238,     47400,  4421, 14769, 25863, 17138, 28028, 29897
       239,     47600,  5144, 14187, 26012, 17123, 28023, 29897
       240,     47800,  5912, 13615, 26124, 17107, 28019, 29897
       241,     48000,  6721, 13056, 26198, 17090, 28015, 29897
       242,     48200,  7568, 12511, 26235, 17071, 28011, 29897
       243,     48400,  8450, 11982, 26234, 17052, 28008, 29897
       244,     48600,  9363, 11472, 26195, 17032, 28005, 29897
       245,     48800, 10305, 10982, 26119, 17011, 28002, 29897
       246,     49000, 11270, 10515, 26005, 16990, 27999, 29897
       247,     49200, 12255, 10073, 25854, 16967, 27997, 29897
       248,     49400, 13257,  9656, 25667, 16945, 27995, 29897
       249,     49600, 14271,  9267, 25444, 16922, 27993, 29897
       250,     49800, 15293,  8908, 25186, 16898, 27992, 29897
       251,     50000, 16320,  8579, 24895, 16875, 27991, 29897
       252,     50200, 17347,  8282, 24571, 16851, 27991, 29897
       253,     50400, 18370,  8019, 24216, 16827, 27991, 29897
       254,     50600, 19385,  7789, 23831, 16803, 27991, 29897
       255,     50800, 20389,  7595, 23418, 16780, 27992, 29897
       256,     51000, 21377,  7437, 22978, 16756, 27993, 29897
       257,     51200, 22345,  7315, 22513, 16733, 27994, 29897
       258,     51400, 23290,  7230, 22024, 16710, 27996, 29897
       259,     51600, 24207,  7183, 21515, 16688, 27998, 29897
       260,     51800, 25093,  7173, 20986, 16667, 28001, 29897
       261,     52000, 25946,  7200, 20441, 16646, 28003, 29897
       262,     52200, 26760,  7265, 19880, 16626, 28006, 29897
       263,     52400, 27533,  7367, 19306, 16606, 28010, 29897
       264,     52600, 28263,  7506, 18722, 16588, 28013, 29897
       265,     52800, 28946,  7682, 18130, 16570, 28017, 29897
       266,     53000, 29579,  7892, 17532, 16554, 28022, 29897
       267,     53200, 30160,  8138, 16930, 16539, 28026, 29897
       268,     53400, 30687,  8417, 16327, 16524, 28031, 29897
       269,     53600, 31157,  8729, 15726, 16512, 28036, 29897
       270,     53800, 31569,  9072, 15128, 16500, 28041, 29897
       271,     54000, 31921,  9446, 14536, 16490, 28046, 29897
       272,     54200, 32212,  9848, 13953, 16481, 28051, 29897
       273,     54400, 32440, 10277, 13380, 16473, 28057, 29897
       274,     54600, 32605, 10731, 12820, 16467, 28063, 29897
       275,     54800, 32706, 11209, 12275, 16463, 28068, 29897
       276,     55000, 32743, 11708, 11747, 16460, 28074, 29897
       277,     55200, 32715, 12227, 11239, 16458, 28080, 29897
       278,     55400, 32623, 12764, 10752, 16458, 28086, 29897
       279,     55600, 32466, 13316, 10288, 16459, 28092, 29897
       280,     55800, 32246, 13882,  9849, 16462, 28098, 29897
       281,     56000, 31964, 14458,  9437, 16467, 28104, 29897
       282,     56200, 31620, 15044,  9054, 16473, 28109, 29897
       283,     56400, 31216, 15636,  8701, 16480, 28115, 29897
       284,     56600, 30754, 16232,  8378, 16489, 28120, 29897
       285,     56800, 30234, 16830,  8089, 16499, 28126, 29897
       286,     57000, 29661, 17427,  7833, 16510, 28131, 29897
       287,     57200, 29034, 18021,  7612, 16523, 28136, 29897
       288,     57400, 28358, 18611,  7427, 16537, 28141, 29897
       289,     57600, 27635, 19192,  7278, 16552, 28145, 29897
       290,     57800, 26867, 19764,  7166, 16568, 28150, 29897
       291,     58000, 26058, 20323,  7092, 16586, 28154, 29897
       292,     58200, 25211, 20869,  7055, 16604, 28158, 29897
       293,     58400, 24329, 21397,  7056, 16624, 28161, 29897
       294,     58600, 23416, 21908,  7095, 16644, 28164, 29897
       295,     58800, 22475, 22397,  7172, 16665, 28167, 29897
       296,     59000, 21510, 22864,  7286, 16686, 28170, 29897
       297,     59200, 20525, 23307,  7437, 16709, 28172, 29897
       298,     59400, 19523, 23724,  7624, 16731, 28174, 29897
       299,     59600, 18509, 24113,  7847, 16754, 28176, 29897
       300,     59800, 17487, 24472,  8105, 16778, 28177, 29897
       301,     60000, 16461, 24801,  8396, 16802, 28178, 29897
       302,     60200, 15434, 25098,  8720, 16826, 28178, 29897
       303,     60400, 14411, 25362,  9075, 16850, 28178, 29897
       304,     60600, 13396, 25591,  9460, 16874, 28178, 29897
       305,     60800, 12392, 25785,  9874, 16897, 28177, 29897
       306,     61000, 11405, 25944, 10314, 16921, 28176, 29897
       307,     61200, 10437, 26066, 10779, 16944, 28175, 29897
       308,     61400,  9492, 26151, 11267, 16967, 28173, 29897
